#separator: tab
#html:true
ウェイ	way
補欠 | ほけつ	filling a vacancy; supplementation, substitute; deputy; alternate; spare
いかん	transfer of control
前後 | まえしりえ	front and rear; front and back; before and behind
引き金 | ひ, がね	trigger; gunlock
耐久 | たいきゅう	endurance; persistence
王室 | おうしつ	royal family
ストレス	stress
分泌 | ぶんぴつ	secretion
定休日 | ていきゅうび	regular holiday; fixed day off; regular closing day
行楽 | こうらく	outing; picnic; excursion; pleasure trip
迷信 | めいしん	superstition; superstitious belief
資材 | しざい	(raw) material
異議 | いぎ	objection; dissent; protest
結束 | けっそく	union; unity; solidarity, bundling; binding; tying
掴む | つか	to seize; to catch; to grasp; to grip; to grab; to hold; to catch hold of; to lay one's hands on; to clutch, to understand; to grasp; to comprehend
掛け | か	credit, money owed on an account; bill
公司 | こうし	company; firm (in China)
送付 | そうふ	sending (esp. email attachments); forwarding; remitting
肌着 | はだぎ	underwear; underclothes; lingerie; chemise; singlet
奴隷 | どれい	slave; servant, slavery
途端 | とたん	just (now, at the moment, etc.); just as; in the act of; as soon as; at the moment that
値打ち | ねう	value; worth; price; dignity
光学 | こうがく	optics
武道 | ぶどう	martial arts; military arts; Bushido
足音 | あしおと	footsteps (sound)
来る | きた	next (e.g. "next April"); forthcoming; coming, to come; to arrive; to be due to
にあたって	at the time of (ind. opportunity or situation where something should be done)
欲しがる | ほ	to desire; to want; to wish for; to covet
支所 | ししょ	branch (office)
書名 | しょめい	book title
執着 | しゅうちゃく	attachment; adhesion; tenacity; fixation; obsession
公職 | こうしょく	public office
騎手 | きしゅ	horseman; rider
紡績 | ぼうせき	spinning
序盤 | じょばん	the opening(s) (e.g. in a game of go or chess)
危惧 | きぐ	apprehensions; misgivings; uneasiness; anxiety; fear
押し | お	push; pressure; authority; audacity
耕地 | こうち	arable land
お礼 | れい	thanks; gratitude, manners; etiquette
パイロット	pilot
年男 | としおとこ	Man of the Year, referring to a man born in a year with the same Chinese zodiac sign as the current year
おおむぎ	barley (Hordeum vulgare)
カトリック	Catholic (church)
呼び名 | よ, な	given name; popular name; mnemonic name
藤 | ふじ	wisteria (esp. Japanese wisteria, Wisteria floribunda); wistaria
国務 | こくむ	affairs of state
歩兵 | ほへい	infantry; infantryman; foot soldier
お世辞 | せじ	flattery; compliment
現時点 | げんじてん	present point (i.e. in history); at the present time
基調 | きちょう	basic tone; underlying tone; basic theme; basis; keynote, trend
心から | しん	from the bottom of one's heart; heart and soul; by nature
鈍い | にぶ	dull (e.g. a knife); blunt, thickheaded; obtuse; stupid
種々 | しゅじゅ	variety
義父 | ぎふ	father-in-law, foster father
粘り | ねば	stickiness; viscosity, tenacity; persistence
旧制 | きゅうせい	old system; old order
よる	to be due to; to be caused by, to depend on; to turn on
集積 | しゅうせき	accumulation
い	well
げつれい	monthly
英明 | えいめい	intelligent; wise; bright; brilliant; clear-sighted
番付 | ばんづけ	ranked list (entertainers, sumo wrestlers, millionaires, etc.), program (e.g. theatre)
適合 | てきごう	conformity; compatibility; adaptability; congruity; congruence
病床 | びょうしょう	sickbed
男の人 | おとこ, ひと	man
常 | つね	usual state of things
法定 | ほうてい	legal; designated by law
習字 | しゅうじ	penmanship
目当て | めあ	mark; guide; landmark, purpose; aim; goal; intention; end
造成 | ぞうせい	creation; clearing; reclamation
お参り | まい	worship; shrine visit
お互い | たが	mutual; reciprocal; each other
時効 | じこう	statute of limitations; lapse of rights after a period of time; prescription (including acquisitive and extinctive prescription), ageing; aging
主宰 | しゅさい	supervision; chairmanship
出くわす | で	to happen to meet; to come across
見習い | みなら	apprenticeship; probation; learning by observation, apprentice; trainee; probationer
党員 | とういん	party member
鳥類 | ちょうるい	birds
葉っぱ | は	leaf, marijuana; cannabis
かゆい	itchy
ボランティア	volunteer
侵す | おか	to invade; to raid; to violate (airspace, etc.); to intrude; to trespass, to infringe; to encroach
舞踏 | ぶとう	dancing, contemporary performance dance
みの	straw raincoat
ミュージック	music
勲章 | くんしょう	decoration; order; medal
車線 | しゃせん	traffic lane; road lane
始動 | しどう	starting (in machines); activation
会 | え	gathering (esp. Buddhist, festive, etc.)
お祝い | いわ	congratulation; congratulations; celebration; festival; congratulatory gift
大震災 | だいしんさい	great earthquake (disaster), Great Kanto earthquake of 1923
感度 | かんど	sensitivity; reception (e.g. radio and television); severity (quake)
男女 | おとこおんな	masculine woman; mannish woman, feminine man; effeminate man
無職 | むしょく	without an occupation
名 | めい	counter for people (usu. seating, reservations and such), first name
呼称 | こしょう	naming; giving a name; designation; denomination, nominal
値上がり | ねあ	price advance; increase in value
高 | こう	high school, high-
母の日 | はは, ひ	Mother's Day
クリーム	cream
大家 | たいか	expert
流用 | りゅうよう	diversion; appropriation (e.g. of funds); misappropriation, re-use (e.g. old computer parts); recycling
同局 | どうきょく	the said bureau; the same bureau
帝 | みかど	emperor (of Japan); mikado, (the gates of an) imperial residence
折り返し | お, かえ	by return; (call or write back) without delay, lapel; cuffs; flap
合作 | がっさく	collaboration; joint work
へそ	navel; belly button, protrusion or depression in the middle of an object
あいのり	riding together
量産 | りょうさん	mass production
ぶらぶら	dangling heavily; swaying to and fro; swinging, strolling; rambling; roaming; wandering
骨格 | こっかく	skeleton; skeletal structure; build; frame; physique, framework
荒れる | あ	to become stormy; to become rough (of the sea), to fall into ruin; to become neglected; to become dilapidated
利口 | りこう	clever; intelligent; wise; bright; sharp; sensible; smart; shrewd, well-behaved (of kids, animals, etc); obedient; good
反戦 | はんせん	anti-war
山本 | やまもと	foot of a mountain; base of a mountain, mine; colliery
節 | せつ	occasion; time, section (of a literary work); paragraph; verse; stanza; passage
ボーナス	bonus
公益 | こうえき	public interest; public benefit; public good
お	cord; strap; thong, string (of a musical instrument, bow, etc.)
肩書 | かたがき	title; degree; address (on letter); criminal record
所蔵 | しょぞう	(in one's) possession
北国 | ほっこく	northern provinces; northern countries
外電 | がいでん	foreign telegram
白バイ | しろ	motorcycle police, white-colored police motorcycle
学区 | がっく	school district; school area
弥生 | やよい	third month of the lunar calendar, thick growth (of grass, etc.)
ギャング	gang, gangster
賢明 | けんめい	wisdom; intelligence; prudence
書き出し | か, だ	beginning (of writing); opening passage (sentence, paragraph, etc.), written claim; bill
局面 | きょくめん	position in a game of go or shogi; state of the game, aspect of an affair; situation
行員 | こういん	bank clerk
上下 | うえした	top and bottom; up and down; high and low; above and below; upper and lower ends, upside-down
模倣 | もほう	imitation; copying
良質 | りょうしつ	good quality; fine quality; superior quality; high quality
あいつ	he; she; that guy
参拝 | さんぱい	visit to a shrine or temple; paying homage at a shrine or temple
復元 | ふくげん	restoration (to original state); reconstruction
おどり	leaping; jumping; spring; exciting
遺族 | いぞく	bereaved family; surviving relatives
死因 | しいん	cause of death
結末 | けつまつ	end; conclusion
徴兵 | ちょうへい	conscription; recruitment; enlistment
食後 | しょくご	after a meal
協奏曲 | きょうそうきょく	concerto
炊事 | すいじ	cooking; culinary arts
中型 | ちゅうがた	medium size
名山 | めいざん	famous mountain
兵役 | へいえき	military service; conscription
排気 | はいき	exhaust; ventilation
海流 | かいりゅう	ocean current
小 | こ	small; little; slight, slightly less than; just about
先見 | せんけん	foresight; anticipation
新橋 | しんばし	Shinbashi (section of Tokyo)
こう	manuscript; version; draft
書簡 | しょかん	letter; note; epistle; correspondence
にかけて	till; to; over (a period); through (e.g. Monday through Thursday); about (approx. time or place); on, concerning (an area of expertise)
パンツ	underpants; pants; briefs; panties; shorts; knickers, trousers (esp. women's); jodhpurs; breeches; pants; trunks (e.g. swimming)
討議 | とうぎ	debate; discussion
皇室 | こうしつ	Imperial household
気に入り | き, い	favorite; favourite; pet
祈願 | きがん	prayer; supplication
築く | きず	to build; to pile up; to amass
私用 | しよう	personal use, private business
駆使 | くし	free use, to use freely; to make free use of; to have good command (e.g. of a language)
円 | まる	circle, entirety; whole; full; complete
アラブ	Arab
空襲 | くうしゅう	air-raid
同性 | どうせい	same sex
欠く | か	to chip; to nick; to break; to crack, to lack
全土 | ぜんど	whole nation; whole land; whole country
流動 | りゅうどう	flow
違和感 | いわかん	uncomfortable feeling; feeling out of place; sense of discomfort, malaise; physical unease
酔っ払い | よ, ぱら	drunkard
休戦 | きゅうせん	cease-fire; truce; armistice
がち	artistry; good taste; elegance; grace
接待 | せったい	reception; welcome; serving (food), wining and dining; business entertainment; corporate entertainment; entertaining politicians
譲歩 | じょうほ	concession; conciliation; compromise
会心 | かいしん	congeniality; satisfaction
長生 | ちょうせい	longevity
重度 | じゅうど	heavy; severe
見出す | みだ	to begin to look, to find out; to discover; to notice; to detect
観覧 | かんらん	viewing
王位 | おうい	the throne; the crown
字幕 | じまく	subtitles; captioning
国勢調査 | こくせいちょうさ	(national) census
自民 | じみん	Liberal Democratic Party; LDP
てがき	handwriting, handwritten; hand-painted; hand-drawn
さよなら	good-bye
台頭 | たいとう	rise of; appearance of; rearing its head; raising one's head; coming to power; becoming famous; (being in the) forefront; prominence
地裁 | ちさい	district court
一軍 | いちぐん	one army; whole army, first string players
県 | けん	prefecture (of Japan), county (of China)
カフェ	cafe; coffeehouse, hostess bar (serving western alcoholic beverages; Taisho and Showa period)
一枚 | いちまい	one thin flat object; one sheet
倉敷 | くらしき	storage charges
分間 | ふんかん	minutes (period of)
ぜいりし	tax counsellor; tax counselor; licensed tax accountant
エスカレーター	escalator
独り言 | ひと, ごと	soliloquy; monologue; speaking to oneself
文教 | ぶんきょう	education; culture
熟 | つくづく	completely; really; thoroughly; deeply; severely; intently
隠居 | いんきょ	retirement, retired person
矢印 | やじるし	arrow (mark or symbol); directional marker or indicator
東日本 | ひがしにほん	eastern Japan; Japan east of the Itoigawa-Shizuoka Tectonic Line, i.e. east of the Chubu region
後 | しり	buttocks; behind; rump; bottom, undersurface; bottom
市道 | しどう	municipal roads
芸 | げい	art; craft; accomplishment; artistic skill; technique; performance
経常 | けいじょう	ordinary
分かれ | わ	offshoot; branch; fork
部落 | ぶらく	hamlet; subunit of village, burakumin area
あげ	frying; fried food, fried tofu; fried bean curd
断片 | だんぺん	fragment; crumb; shred; bits and pieces
続編 | ぞくへん	continuation; sequel
神楽 | かぐら	ancient Shinto music and dancing
損傷 | そんしょう	damage; injury
国軍 | こくぐん	national armed forces
応える | こた	to respond; to answer; to meet (e.g. demands, expectations), to affect; to take a toll; to strike home; to have an effect on; to be hard on someone (e.g. heat, cold, work, illness, etc.); to be a strain
改編 | かいへん	reorganization; reorganisation
本業 | ほんぎょう	principal occupation; core business
十 | シー	ten
水洗 | すいせん	rinsing with water; flushing
射撃 | しゃげき	firing; shooting; fire; gunshot; marksmanship
難航 | なんこう	difficult voyage; hard flight, rough going; rough passage; running into trouble; stormy passage
荒野 | こうや	wasteland; wilderness; deserted land; prairie; vast plain; wilds; desert; wild land
脈 | みゃく	pulse, vein
じょうほうしょり	data processing
印紙 | いんし	(revenue) stamp
期末 | きまつ	end of term
打開 | だかい	break in the deadlock
一塁 | いちるい	first base, first baseman
解禁 | かいきん	lifting a ban
客員 | きゃくいん	guest (associate) member
攻略 | こうりゃく	capture, strategy guide; playing guide (e.g. for game); book of hints
末日 | まつじつ	last day (of a month)
揃う | そろ	to become complete; to be all present; to be a full set; to have everything at one's disposal, to be equal; to be uniform
召集 | しょうしゅう	convening; calling together (e.g. parliament)
口癖 | くちぐせ	way of saying; favorite phrase; favourite phrase
共鳴 | きょうめい	resonance; sympathetic (sound); (being in) sympathy
党内 | とうない	party-internal
対局 | たいきょく	(playing) a game of go, shogi or chess, etc.
頬 | ほお	cheek (of face)
妨げる | さまた	to disturb; to prevent; to obstruct; to hinder
分かつ | わ	to divide; to separate, to share; to distribute
月日 | がっぴ	(the) date
打ち切り | う, き	end; close; finish; truncation; discontinuance
あくじょ	wicked or ugly woman
水域 | すいいき	waters; water area
くぐる	to go under; to pass under; to go through; to pass through, to dive (into or under the water)
大砲 | たいほう	gun; cannon; artillery
政局 | せいきょく	political situation
柔らか | やわ	soft; tender; limp; subdued (colour or light) (color); gentle; meek
時として | とき	in some cases; sometimes; on occasions
因子 | いんし	factor; divisor; element
特典 | とくてん	privilege; special favor; special favour; benefit; prerogative; perk; amenity
区切る | くぎ	to demarcate; to delimit; to divide (an area); to mark off; to cut off, to punctuate; to put an end to (e.g. a sentence); to insert pauses or breaks (e.g. when reading aloud)
没 | ぼつ	discard, death
不可欠 | ふかけつ	indispensable; essential
増進 | ぞうしん	promoting; increase; advance
臨海 | りんかい	coastal; seaside; oceanfront; maritime
殿堂 | でんどう	palace; hall; shrine; temple; sanctuary, hall of fame
のろのろ	slowly; sluggishly
四 | スー	four
奏者 | そうしゃ	instrumentalist; player
断 | だん	decision; judgment; resolution
サイクル	cycle
魔 | ま	demon; devil; evil spirit; evil influence, someone who (habitually) performs some (negative) act
月食 | げっしょく	lunar eclipse
質疑 | しつぎ	question, interpellation
年俸 | ねんぽう	annual salary
エチケット	etiquette
防護 | ぼうご	protection
すると	thereupon; hereupon
楽天 | らくてん	optimism
改装 | かいそう	remodelling; remodeling; reorganization; reorganisation
仕入れる | しい	to lay in stock; to replenish stock; to procure; to learn something that might be useful later
開口 | かいこう	opening; aperture (e.g. camera), opening one's mouth; beginning to speak
大嫌い | だいきら	detestable; abhorrent; loathsome
家政 | かせい	household economy; housekeeping; homemaking
タッチ	touch, being involved in
高下 | こうげ	rise and fall (e.g. prices); fluctuation, difference (rank, grade, quality, etc.); variation
良さ | よ	merit; virtue; good quality
将校 | しょうこう	commissioned officer
議事堂 | ぎじどう	assembly hall; parliament house; diet building; capitol; houses of parliament; congress hall
準じる | じゅん	to follow; to conform; to apply to
近寄る | ちかよ	to approach; to draw near
女 | じょ	woman; girl; daughter, Chinese "Girl" constellation (one of the 28 mansions)
先人 | せんじん	predecessor; pioneer; ancestor
わん	bowl (wooden)
四国 | しこく	Shikoku (smallest of the four main islands of Japan)
一校 | いっこう	whole school; the first proof; one proofreading
アレンジ	to arrange, (musical) arrangement
国債 | こくさい	national debt; national securities; government bonds; government securities
口頭 | こうとう	oral
実る | みの	to bear fruit; to ripen
オープン	open
ワット	watt
正味 | しょうみ	net (weight)
円盤 | えんばん	disk; discus; platter, flying saucer
住職 | じゅうしょく	chief priest (of a Buddhist temple)
長雨 | ながあめ	long spell of rain
集約 | しゅうやく	intensiveness, collecting; summarizing; putting together; aggregating; integrating
なんとも	quite; really; very; extremely, nothing; not a bit; not at all
こし	used paper; paper for recycling
昼夜 | ちゅうや	day and night
セーター	sweater; jumper
錦 | にしき	brocade, fine dress; fine clothes
明言 | めいげん	declaration; statement
花びら | はな	(flower) petal
院内 | いんない	inside the House (Diet), inside the hospital
噴出 | ふんしゅつ	spewing; gushing; spouting; eruption; effusion
浮世絵 | うきよえ	ukiyoe (color print of everyday life in the Edo period) (colour)
特設 | とくせつ	setting up specially; special installation
四球 | しきゅう	four balls; base on balls; a walk
柳 | やなぎ	willow (any tree of genus Salix), weeping willow (Salix babylonica)
構図 | こうず	composition
かな	kana; Japanese syllabary (i.e. hiragana, katakana)
報復 | ほうふく	retribution; revenge; retorsion
尽きる | つ	to be used up; to be run out; to be exhausted; to be consumed; to come to an end
晴天 | せいてん	fine weather (i.e. little or no clouds); fair weather; clear weather; clear sky; fair skies
埋蔵 | まいぞう	buried property; treasure trove
実費 | じっぴ	actual expense; cost price
長 | たけ	height; stature, length (esp. of clothing)
車 | しゃ	car; vehicle
古来 | こらい	from time immemorial; ancient; time-honoured; time-honored
観賞 | かんしょう	admiration; enjoyment
やや	a little; partially; somewhat; slightly; semi-; -ish; on the ... side; a short time; a while
スプリング	spring
非公開 | ひこうかい	private; exclusive; secret
古 | いにしえ	antiquity; ancient times
日間 | にっかん	daytime; during the day
ねんれいそう	age range; age-group; age bracket
合弁 | ごうべん	joint management; pool
供与 | きょうよ	giving; provision; furnishing
水路 | すいろ	waterway; canal; channel, aqueduct; conduit
別館 | べっかん	(hotel) annexe (annex)
症候群 | しょうこうぐん	syndrome
分身 | ぶんしん	parturition; delivery; one's child; branch; offshoot; one's other self
新曲 | しんきょく	new piece; new song
捧げる | ささ	to lift up, to give; to offer; to consecrate
精算 | せいさん	exact calculation; squaring of accounts; adjustment
肥満 | ひまん	corpulence; fatness; obesity
させる	to make (someone) do, to allow (someone) to
無形 | むけい	abstract; immaterial; moral; spiritual; intangible
しり	personal profit; self interest
共著 | きょうちょ	collaboration; co-authorship
天ぷら | てん	tempura; deep-fried fish and vegetables in a light batter
スピーチ	speech
指針 | ししん	needle (compass, gauge, etc.); hand (clock); indicator; pointer; index, guiding principle; guideline; guide
内装 | ないそう	interior design; interior; upholstery
男 | おのこ	man; boy
効き目 | き, め	effect; virtue; efficacy; impression
トン	ton (esp. a metric ton, i.e. 1000 kg); tonne
引き上げ | ひ, あ	pulling up; drawing up; salvage; re-flotation, raising; increase; upward revision
駅長 | えきちょう	station master
共生 | きょうせい	symbiosis; paragenesis; union
税 | ぜい	tax
銀色 | ぎんいろ	silver (color, colour)
レントゲン	X-ray, roentgen (unit of ionizing radiation)
中将 | ちゅうじょう	lieutenant general; vice-admiral
生 | ふ	area of thick growth (of trees, grass, etc.)
入校 | にゅうこう	matriculation
やつ	fellow; guy; chap, thing; object
貸家 | かしや	house for rent
子 | し	child (esp. a boy), viscount
守り | も	babysitting; babysitter, protecting; keeping; keeper
自称 | じしょう	self-alleged; self-proclaimed; calling oneself; self-styled; would-be, first person
生放送 | なまほうそう	live broadcast
ふつうよきん	ordinary bank account
時限 | じげん	(school) period, period or division of time; time limit
急に | きゅう	swiftly; rapidly, suddenly; abruptly; immediately
親交 | しんこう	intimacy; friendship; friendly relations
エンジニア	engineer
幼稚 | ようち	infancy; childish; infantile
退場 | たいじょう	exit (from a stage); exeunt, leaving; exit
開ける | ひら	to become opened up; to improve; to get better, to develop; to progress; to become civilized (civilised); to be up-to-date
混ざる | ま	to be mixed; to be blended with; to associate with; to mingle with; to join
家 | いえ	house; residence; dwelling, family; household
音質 | おんしつ	tone quality; sound quality
メッセージ	message
暗黒 | あんこく	darkness
脅かす | おど	to threaten; to menace, to startle; to surprise
降下 | こうか	fall; descent; (plane) landing; (atmos.) depression
悪意 | あくい	ill will; spite; evil intention; malice, bad meaning
聴取 | ちょうしゅ	listening; hearing; audition, radio reception
行間 | ぎょうかん	line-spacing in text; between the lines
キス	kiss
汚す | よご	to pollute; to contaminate; to soil; to make dirty; to stain, to disgrace; to dishonour; to dishonor; to defile
添加 | てんか	addition; annexing
声優 | せいゆう	voice actor or actress (radio, animation, etc.)
無償 | むしょう	no compensation; without payment, free of charge
格 | かく	status; position; rank, method; way; style
にゅうせいひん	dairy products
土壌 | どじょう	soil, breeding ground; fertile ground (for); foundation (for the development of ...)
略歴 | りゃくれき	brief personal record; short curriculum vitae; short CV
定住 | ていじゅう	settlement; permanent residency, to settle down in; to reside in
代償 | だいしょう	compensation; indemnification; reparation; consideration
探査 | たんさ	probe; inquiry; enquiry; investigation
装着 | そうちゃく	equipping; installing; mounting; laying down
衰退 | すいたい	decline; degeneration; decay; waning; ebbing
帰す | かえ	to send (someone) back; to send (someone) home
ドット	dot; point, polka dots
切れ | き	piece; slice; strip; scrap, cloth
ハンサム	handsome
女子大 | じょしだい	women's college; women's university
愛国 | あいこく	love of (one's) country; patriotism
高値 | たかね	high price
没落 | ぼつらく	ruin; fall; collapse
幕末 | ばくまつ	closing days of the Tokugawa shogunate; end of Edo era
寸前 | すんぜん	on the verge; on the brink; just in front of; just before
牧野 | ぼくや	pasture land; ranch
紛失 | ふんしつ	losing something
したい	limbs; members; body
陶器 | とうき	porcelain (esp. soft-paste porcelain); china; chinaware; earthenware; pottery; ceramics; crockery
じっくり	deliberately; carefully; thoroughly; without rushing
かおあわせ	meeting together; introduction
ノート	notebook; copy-book; exercise book, note
さ来月 | らいげつ	month after next
船体 | せんたい	hull
八幡 | はちまん	Hachiman (God of War), Hachiman shrine
多額 | たがく	large amount of money
標的 | ひょうてき	target
認証 | にんしょう	certification; attestation; authentication; confirmation, Imperial attestation
先 | せん	former; previous; old, first move (in go, shogi, etc.); opening move
画集 | がしゅう	book of paintings in print
名月 | めいげつ	harvest moon, bright moon; full moon
起動 | きどう	startup; booting up; activation; starting (e.g. engine, computer); launch
被爆 | ひばく	being bombed, being A-bombed; being nuked; being exposed to radiation (from an atomic blast)
原型 | げんけい	prototype; model; pattern; archetypal
既婚 | きこん	marriage; married
露骨 | ろこつ	frank; blunt; plain; outspoken, conspicuous; open
保養 | ほよう	health preservation; recuperation; recreation
場外 | じょうがい	outside the hall (or stadium, market, etc.); off the grounds; off the premises; off-track
回送 | かいそう	forwarding; sending on; redirecting (e.g. mail), deadheading (e.g. train)
先制 | せんせい	head start; initiative; preemption
工房 | こうぼう	workshop; studio; atelier
共済 | きょうさい	mutual aid
半減 | はんげん	reduction by half; halve
ゆり	lily (Lilium spp.), comics and novels about female homosexuality
称号 | しょうごう	title; name; degree
しか	historian
六 | リュー	six
いむ	medical affairs
妥当 | だとう	valid; proper; right; appropriate; reasonable
暗示 | あんじ	hint; suggestion
今 | こん	the current ...; this, today's ...
台場 | だいば	fort; battery
松原 | まつばら	pine grove
中間 | ちゅうげん	samurai's attendant; footman
分の | ぶん	-th (e.g. one fifth)
小 | しょう	smallness; small item, short month (i.e. having fewer than 31 days)
長短 | ちょうたん	length, long and short; advantages and disadvantages; pluses and minuses; strong and weak points; merits and demerits
台詞 | せりふ	speech; words; one's lines; remarks
電化 | でんか	electrification
焦る | あせ	to be in a hurry; to be impatient; to be flustered; to lose one's presence of mind; to be surprised
告訴 | こくそ	accusation; complaint; charge; legal action
台地 | だいち	plateau; tableland; eminence
校内 | こうない	within a school
容赦 | ようしゃ	pardon; forgiveness; mercy, leniency; going easy (on someone)
乾かす | かわ	to dry (clothes, etc.); to desiccate
せん	stopper; cork; stopcock
ゆず	yuzu (Citrus ichangensis x C. reticulata)
コミュニケーション	communication
領海 | りょうかい	territorial waters
向け | む	intended for ...; oriented towards ...; aimed at ...
旅券 | りょけん	passport
編曲 | へんきょく	arrangement, to arrange; to orchestrate
故意 | こい	intention; purpose; bad faith, mens rea (guilty mind)
戸棚 | とだな	cupboard; locker; closet; wardrobe; cabinet
白 | しら	white, unseasoned; undyed; unaltered
家電 | かでん	consumer electronics; consumer electrical appliances
偽装 | ぎそう	camouflage; disguise, pretense; feigning; masquerade
妖怪 | ようかい	ghost; apparition; phantom; spectre; specter; demon; monster; goblin
かと	crossing; ferry, transient
もちろん	of course; certainly; naturally
西 | せい	Spain
巧妙 | こうみょう	ingenious; skillful; clever; deft
くん	native Japanese reading (rendering) of a Chinese character
泳ぎ | およ	swimming
直 | じき	soon; in a moment; before long; shortly, nearby; close
かん	coffin; casket
増殖 | ぞうしょく	increase; multiplication; propagation
転々 | てんてん	moving from place to place; being passed around repeatedly, rolling about
つまずく	to stumble; to trip, to fail
繊細 | せんさい	dainty; delicate (e.g. fingers); fine; slim, sensitive; delicate (feelings, sense, etc.); subtle
半田 | はんだ	solder; pewter
手分け | てわ	division of labour; division of labor; splitting into groups (e.g. to search)
解く | と	to untie; to unfasten; to unwrap; to undo; to unbind; to unpack, to unsew; to unstitch
樹脂 | じゅし	resin; rosin
木 | もく	Thursday, wood (first of the five elements)
にがお	portrait; likeness
真下 | ました	right under; directly below
裏返す | うらがえ	to turn inside out; to turn the other way; to turn (something) over
商標 | しょうひょう	trademark
大男 | おおおとこ	great man; giant
併合 | へいごう	merger; joining into one; melding; merging; annexation; absorption
諸君 | しょくん	Gentlemen!; Ladies!
行 | こう	going; travelling (traveling), type of classical Chinese verse (usu. an epic)
歴任 | れきにん	successive jobs; consecutive jobs
衆院 | しゅういん	lower house of the Diet; House of Representatives
託す | たく	to entrust, to make an excuse of
せっせと	diligently; assiduously; industriously; beavering away
洋楽 | ようがく	Western music; European music
整える | ととの	to put in order; to arrange; to adjust, to get ready; to prepare
生年 | せいねん	the year of a person's birth; age
千鳥 | ちどり	plover
桁 | けた	column; beam; girder; crossbeam; spar; yard, digit; decade; order of magnitude
と	way
と	to (measure of volume, approx. 18 litres), square bearing block (at the top of a pillar)
液 | えき	liquid; fluid
提言 | ていげん	proposal; motion; recommendation
いる	to cast; to mint; to coin
受託 | じゅたく	being entrusted with; taking charge of
歌唱 | かしょう	song; singing
はん	pan-
条項 | じょうこう	clause; article; stipulations
皇居 | こうきょ	Imperial Palace (of Japan); imperial residence
八 | パー	eight
臭い | くさ	stinking; smelly, suspicious; fishy
工員 | こういん	factory worker
高台 | たかだい	elevation; high ground
幾分 | いくぶん	somewhat; to some extent; to some degree, some; part; portion
部位 | ぶい	part; position (in a whole, i.e. body)
自転 | じてん	rotation (usu. on an axis); turning; spin
精通 | せいつう	acquaintance; having knowledge; being expert; being versed in; conversant, first ejaculation
山 | さん	Mt.; Mount, Mt.; Mount
楽園 | らくえん	pleasure garden; paradise
声楽 | せいがく	vocal music
打倒 | だとう	knockdown (e.g. in boxing); overthrow; defeat
寄生 | きせい	parasitism; parasite
路地 | ろじ	alley; alleyway; lane, bare earth (i.e. ground not covered by a roof); open field; outdoors (non-greenhouse cultivation of crops)
工科 | こうか	engineering course
報 | ほう	information; news; report
招集 | しょうしゅう	calling or convening (a meeting, assembly, congress)
救命 | きゅうめい	lifesaving
御所 | ごしょ	old imperial palace
話 | わ	counter for stories, episodes of TV series, etc.
上下 | かみしも	samurai costume; old ceremonial costume, top and bottom; up and down; high and low; above and below; upper and lower ends
書 | ふみ	letter; writings
身柄 | みがら	one's person
配属 | はいぞく	assignment (of a person to somewhere); attachment (of a person to another unit, organization, etc.)
人気 | じんき	prevailing mood of a locality; emotional climate of a district
英国 | えいこく	Great Britain; the United Kingdom
合体 | がったい	union; coalescence; amalgamation; combination; alliance; annexation; incorporation, copulation; penetration
引き下げる | ひ, さ	to pull down; to lower; to reduce; to withdraw
まとめる	to collect; to put (it all) together; to integrate; to consolidate; to unify, to summarize; to aggregate
滅びる | ほろ	to be ruined; to go under; to perish; to be destroyed
倣う | なら	to imitate; to follow; to emulate
乗降 | じょうこう	getting on and off; embarking and disembarking
七 | チー	seven
こっかしけん	state examination
中庭 | なかにわ	courtyard; quadrangle; middle court
混じる | ま	to be mixed; to be blended with; to associate with; to mingle with; to interest; to join
在位 | ざいい	reign (i.e of a ruler)
冊 | さつ	counter for books, volume
漠然 | ばくぜん	obscure; vague; equivocal
罰則 | ばっそく	punishment; penalty, penal regulations; penal code
オーケストラ	orchestra
性 | せい	nature (of a person), sex
書き込む | か, こ	to fill in (field, entry, etc.); to fill out (form), to post a message (e.g. on a bulletin-board)
稼働 | かどう	operation (of machine); operating; running; working
切 | せつ	eager; earnest; ardent; kind; keen; acute
腹部 | ふくぶ	abdomen
恐慌 | きょうこう	panic; scare; consternation
宝くじ | たから	lottery
蛇口 | じゃぐち	faucet; tap
学友 | がくゆう	school friend
武将 | ぶしょう	military commander
八本 | はっぽん	eight (long cylindrical things)
やすらぎ	peace (of mind); tranquility; tranquillity; serenity
宅配 | たくはい	home delivery
富豪 | ふごう	wealthy person; millionaire
召し上がる | め, あ	to eat; to drink
ざっと	roughly; in round numbers, cursorily; briefly
受かる | う	to pass (examination)
拍子 | ひょうし	(musical) time; tempo; beat; rhythm, the moment; the instance; chance
三校 | さんこう	third proof
和やか | なご	mild; calm; gentle; quiet; harmonious
史跡 | しせき	historic landmark; historic site; historic remains
皮切り | かわき	beginning; start
領事 | りょうじ	consul
波長 | はちょう	wavelength
委任 | いにん	charge; trust
全線 | ぜんせん	the whole line; all lines; the whole ship
念頭 | ねんとう	(on one's) mind; heed
商用 | しょうよう	on business; for business; business purpose
回顧 | かいこ	recollecting; reminiscing; looking back; retrospection; review
軍縮 | ぐんしゅく	disarmament; limitation of arms
ファックス	facsimile; FAX
太字 | ふとじ	boldface; bold-type; thick characters
